comment,case_folding,cleansing
"Gimana polisi mau nangkap hacker,masuk polisi bukan otak yg dilihat tapi duit.","gimana polisi mau nangkap hacker,masuk polisi bukan otak yg dilihat tapi duit.",gimana polisi mau nangkap hackermasuk polisi bukan otak yg dilihat tapi duit
Nangkep yg punya akun bodong aja kelabakan apalagi sekelas hacker 😂😂😂,nangkep yg punya akun bodong aja kelabakan apalagi sekelas hacker 😂😂😂,nangkep yg punya akun bodong aja kelabakan apalagi sekelas hacker
"tipis tipis dengan cuk*i rokok dan jud*l.. pdhal sama2 merusak.
tanpa ini pendapatan kepemerintahan menurun..
iya gaksih","tipis tipis dengan cuk*i rokok dan jud*l.. pdhal sama2 merusak.
tanpa ini pendapatan kepemerintahan menurun..
iya gaksih",tipis tipis dengan cuki rokok dan judl pdhal sama merusak tanpa ini pendapatan kepemerintahan menurun iya gaksih
"Polisi angkatan ""SUM KUNING""??? terlihat bekerja walaupun yang ditangkap hanya dijadikan KAMBING HITAM??? 
Semoga Indonesia diberikan lagi Polisi seperti sosok Alm.Jendral Bp.Hoegeng Iman Santoso. Amin.","polisi angkatan ""sum kuning""??? terlihat bekerja walaupun yang ditangkap hanya dijadikan kambing hitam??? 
semoga indonesia diberikan lagi polisi seperti sosok alm.jendral bp.hoegeng iman santoso. amin.",polisi angkatan sum kuning terlihat bekerja walaupun yang ditangkap hanya dijadikan kambing hitam semoga indonesia diberikan lagi polisi seperti sosok almjendral bphoegeng iman santoso amin
"Nangkep maling motor aja ga bisa, apalagi yg tak kasat mata 😂😂😂😂","nangkep maling motor aja ga bisa, apalagi yg tak kasat mata 😂😂😂😂",nangkep maling motor aja ga bisa apalagi yg tak kasat mata
bisa di usut gak sih aparat yg nangkep nya😂 pembodohan gasih,bisa di usut gak sih aparat yg nangkep nya😂 pembodohan gasih,bisa di usut gak sih aparat yg nangkep nya pembodohan gasih
Seragam konoha diam beban negara sekali gerak maluin negara😂😂😂,seragam konoha diam beban negara sekali gerak maluin negara😂😂😂,seragam konoha diam beban negara sekali gerak maluin negara
Pak pol kocak🤣🤣🤣 di kadalin byorka,pak pol kocak🤣🤣🤣 di kadalin byorka,pak pol kocak di kadalin byorka
Akhirnya jagoan gua di undang 🎉🎉🎉🎉🎉🎉🎉,akhirnya jagoan gua di undang 🎉🎉🎉🎉🎉🎉🎉,akhirnya jagoan gua di undang
"Yak sodara-sodara untuk sementara scorenya
Bjorka 1 - polisi 0","yak sodara-sodara untuk sementara scorenya
bjorka 1 - polisi 0",yak sodarasodara untuk sementara scorenya bjorka polisi
"Yg nangkep Stu*id hhh yakali bjk pake data pribadi nya, lol 👻","yg nangkep stu*id hhh yakali bjk pake data pribadi nya, lol 👻",yg nangkep stuid hhh yakali bjk pake data pribadi nya lol
"Ladusing : Jarang Kerja, Sekali Kerja Jarang Bener","ladusing : jarang kerja, sekali kerja jarang bener",ladusing jarang kerja sekali kerja jarang bener
revolusi polri,revolusi polri,revolusi polri
"ditangkap disaat rating isilop lagi turun, gimana caranya supaya naek, malah tambah bobrok dong (nada ala coki)","ditangkap disaat rating isilop lagi turun, gimana caranya supaya naek, malah tambah bobrok dong (nada ala coki)",ditangkap disaat rating isilop lagi turun gimana caranya supaya naek malah tambah bobrok dong nada ala coki
Dr kasus ini kita sama2 tau kualitas penegak hukum di negri ini..,dr kasus ini kita sama2 tau kualitas penegak hukum di negri ini..,dr kasus ini kita sama tau kualitas penegak hukum di negri ini
Di bilang admin yg ketangkep ternyata anak berkebutuhan khusus jadi inget sama film Mercury Rising,di bilang admin yg ketangkep ternyata anak berkebutuhan khusus jadi inget sama film mercury rising,di bilang admin yg ketangkep ternyata anak berkebutuhan khusus jadi inget sama film mercury rising
"Sok bisa nangkep Bjorka, buka fufufafa siapa aja ngga bisa 😝","sok bisa nangkep bjorka, buka fufufafa siapa aja ngga bisa 😝",sok bisa nangkep bjorka buka fufufafa siapa aja ngga bisa
17:46 chaaaaaakkkkssssssss,17:46 chaaaaaakkkkssssssss,chaaaaaakkkkssssssss
"Gue sih ngerii bjorka asli kasih paham dan ulti ,, 😅 ngibarin bendera perang atau emang lagi mancing biar keluar?","gue sih ngerii bjorka asli kasih paham dan ulti ,, 😅 ngibarin bendera perang atau emang lagi mancing biar keluar?",gue sih ngerii bjorka asli kasih paham dan ulti ngibarin bendera perang atau emang lagi mancing biar keluar
Bjorka...is the best 👍👍,bjorka...is the best 👍👍,bjorkais the best
Persembunyian yang paling aman adalah dengan menampakan diri,persembunyian yang paling aman adalah dengan menampakan diri,persembunyian yang paling aman adalah dengan menampakan diri
"Polisi kalah sma hacker??? 😂😂😂 shit mennnnnnn AGAK lucu sihhhhhh mentalny😢 Cuman pengen kerja enak doank sih kali yaa nggak bener² ""MENGABDI"" sama negara. Jadi belajarnya yaudah sekedarnya aja orang digaji negara ini wkwkwkwkww  lucu lucu lucuuuuu","polisi kalah sma hacker??? 😂😂😂 shit mennnnnnn agak lucu sihhhhhh mentalny😢 cuman pengen kerja enak doank sih kali yaa nggak bener² ""mengabdi"" sama negara. jadi belajarnya yaudah sekedarnya aja orang digaji negara ini wkwkwkwkww  lucu lucu lucuuuuu",polisi kalah sma hacker shit mennnnnnn agak lucu sihhhhhh mentalny cuman pengen kerja enak doank sih kali yaa nggak bener mengabdi sama negara jadi belajarnya yaudah sekedarnya aja orang digaji negara ini wkwkwkwkww lucu lucu lucuuuuu
Di Korea Utara malah di pelihara untuk pemasukan negara,di korea utara malah di pelihara untuk pemasukan negara,di korea utara malah di pelihara untuk pemasukan negara
"Di suruh percaya ma ISILOP, tapi ISILOP nya sendiri selalu nunjukin ketololanya dan gobloknya mereka bangga..😊","di suruh percaya ma isilop, tapi isilop nya sendiri selalu nunjukin ketololanya dan gobloknya mereka bangga..😊",di suruh percaya ma isilop tapi isilop nya sendiri selalu nunjukin ketololanya dan gobloknya mereka bangga
"Wkwk anak punk 😂😂😂😂
Sirkel2 lo yang coklat emang rada unik2 om 🤣🤣🤣🤣","wkwk anak punk 😂😂😂😂
sirkel2 lo yang coklat emang rada unik2 om 🤣🤣🤣🤣",wkwk anak punk sirkel lo yang coklat emang rada unik om
Inget kasus cat di aplikasi ojol buat selingkuh 😂😂😂 diluar prediksi chat disitu,inget kasus cat di aplikasi ojol buat selingkuh 😂😂😂 diluar prediksi chat disitu,inget kasus cat di aplikasi ojol buat selingkuh diluar prediksi chat disitu
3 kata lucu: polisi nangkep bjorka 😂😂😂,3 kata lucu: polisi nangkep bjorka 😂😂😂,kata lucu polisi nangkep bjorka
"kalau kebaca ini komenan sama bang teguh, mau nanya, pendapat abang tentang browser brave, soalnya ini aplikasi ko kaya sakti gitu","kalau kebaca ini komenan sama bang teguh, mau nanya, pendapat abang tentang browser brave, soalnya ini aplikasi ko kaya sakti gitu",kalau kebaca ini komenan sama bang teguh mau nanya pendapat abang tentang browser brave soalnya ini aplikasi ko kaya sakti gitu
"gua curiga bjorka ini gk cuma 1 orang wkwk, tp kyak komunitas yg dmn semua pake 1 nama anonim bjorka wkwk","gua curiga bjorka ini gk cuma 1 orang wkwk, tp kyak komunitas yg dmn semua pake 1 nama anonim bjorka wkwk",gua curiga bjorka ini gk cuma orang wkwk tp kyak komunitas yg dmn semua pake nama anonim bjorka wkwk
"Bandar Judol aja gabisa nangkep, apalagi Bjorka.. dia pasti lagi ketawa2, jadi pesimis gw liat lembaga milo 🤣","bandar judol aja gabisa nangkep, apalagi bjorka.. dia pasti lagi ketawa2, jadi pesimis gw liat lembaga milo 🤣",bandar judol aja gabisa nangkep apalagi bjorka dia pasti lagi ketawa jadi pesimis gw liat lembaga milo
Spt film the accountant tuh,spt film the accountant tuh,spt film the accountant tuh
"Kalo cuma Chat WA (yg tidak di enkrip) terus didellete masih bisa di recover, gw pernah ngalamin dulu 2021 ngebongkar kasus perselingkuhan temen gw yg udah nikah, akhirnya cerai dan gw merasa bersalah","kalo cuma chat wa (yg tidak di enkrip) terus didellete masih bisa di recover, gw pernah ngalamin dulu 2021 ngebongkar kasus perselingkuhan temen gw yg udah nikah, akhirnya cerai dan gw merasa bersalah",kalo cuma chat wa yg tidak di enkrip terus didellete masih bisa di recover gw pernah ngalamin dulu ngebongkar kasus perselingkuhan temen gw yg udah nikah akhirnya cerai dan gw merasa bersalah
"9:20 wah gw pernah kalo yang ini , tapi paling orangnya tau kalo gw orang biasa gw di bayar gak salah 80rb dan gw tau klo itu penipuan ya udah habis gw di bayar 80rb gw cuekin","9:20 wah gw pernah kalo yang ini , tapi paling orangnya tau kalo gw orang biasa gw di bayar gak salah 80rb dan gw tau klo itu penipuan ya udah habis gw di bayar 80rb gw cuekin",wah gw pernah kalo yang ini tapi paling orangnya tau kalo gw orang biasa gw di bayar gak salah rb dan gw tau klo itu penipuan ya udah habis gw di bayar rb gw cuekin
"Bjorka aja udah bisa ketangkep. Judol2 setelah ini pasti habis diberantas.
Mantap 👍","bjorka aja udah bisa ketangkep. judol2 setelah ini pasti habis diberantas.
mantap 👍",bjorka aja udah bisa ketangkep judol setelah ini pasti habis diberantas mantap
Byorca Asli lagi nonton ini om,byorca asli lagi nonton ini om,byorca asli lagi nonton ini om
Ya allah wkwkwk sejak menit awal aja udah wkwkwkwk,ya allah wkwkwk sejak menit awal aja udah wkwkwkwk,ya allah wkwkwk sejak menit awal aja udah wkwkwkwk
"Bisa jadi si bjorka itu bandar besar judol, makanya dicari teruss.. waahhh hebbbat yah polisi kita","bisa jadi si bjorka itu bandar besar judol, makanya dicari teruss.. waahhh hebbbat yah polisi kita",bisa jadi si bjorka itu bandar besar judol makanya dicari teruss waahhh hebbbat yah polisi kita
Inilah alasan kenapa gw akhir2 ini malu melihat sepupu gw yg jadi polisi',inilah alasan kenapa gw akhir2 ini malu melihat sepupu gw yg jadi polisi',inilah alasan kenapa gw akhir ini malu melihat sepupu gw yg jadi polisi
"Polisi butuh prestasi.. 😅
Anak funk jadi korban. 
L😅L","polisi butuh prestasi.. 😅
anak funk jadi korban. 
l😅l",polisi butuh prestasi anak funk jadi korban ll
Aku yakin bjorka pasti ntn podcast ini...Hello bjorka...😂😂😂,aku yakin bjorka pasti ntn podcast ini...hello bjorka...😂😂😂,aku yakin bjorka pasti ntn podcast inihello bjorka
MASIH GA PUNYA MALU NIH POLRI? 🤣👏,masih ga punya malu nih polri? 🤣👏,masih ga punya malu nih polri
Dan Bjorka kemarin baru membocorkan 341ribu data anggota polri usai dugaan salah tangkap😅,dan bjorka kemarin baru membocorkan 341ribu data anggota polri usai dugaan salah tangkap😅,dan bjorka kemarin baru membocorkan ribu data anggota polri usai dugaan salah tangkap
"pasti menit menit awal, 1 kamera blom kerecord yaa kwkw","pasti menit menit awal, 1 kamera blom kerecord yaa kwkw",pasti menit menit awal kamera blom kerecord yaa kwkw
gue paling suka klo Ipang lazuardi udah speak up gini eheehe,gue paling suka klo ipang lazuardi udah speak up gini eheehe,gue paling suka klo ipang lazuardi udah speak up gini eheehe
Memalukan..,memalukan..,memalukan
panggil pace komputer,panggil pace komputer,panggil pace komputer
"hacker itu bisa jadi pesanan, bisa juga gerakan tanpa pemimpin, bisa juga gerakan kesenangan tersendiri bagi mereka , so menurut u bjorka pesenan individu/golongan, atau memang gerakan random?? hayooooo","hacker itu bisa jadi pesanan, bisa juga gerakan tanpa pemimpin, bisa juga gerakan kesenangan tersendiri bagi mereka , so menurut u bjorka pesenan individu/golongan, atau memang gerakan random?? hayooooo",hacker itu bisa jadi pesanan bisa juga gerakan tanpa pemimpin bisa juga gerakan kesenangan tersendiri bagi mereka so menurut u bjorka pesenan individugolongan atau memang gerakan random hayooooo
KPU berengsek banget,kpu berengsek banget,kpu berengsek banget
Hahahaha😂,hahahaha😂,hahahaha
"Kasus Gama udah jelasin secara keseluruhan bagaimana pola pikir kepolisian. Gaperlu lagi ada penjelasan lain. Kalau yg diatas secara sadar dan gatau malu merekayasa suatu kasus, udh dipastikan pola pikir rekrutan mereka sedari muda ya di bikin gajauh beda, orang yg ngedidik juga senior2nya yg kelakuannya wadidaw.","kasus gama udah jelasin secara keseluruhan bagaimana pola pikir kepolisian. gaperlu lagi ada penjelasan lain. kalau yg diatas secara sadar dan gatau malu merekayasa suatu kasus, udh dipastikan pola pikir rekrutan mereka sedari muda ya di bikin gajauh beda, orang yg ngedidik juga senior2nya yg kelakuannya wadidaw.",kasus gama udah jelasin secara keseluruhan bagaimana pola pikir kepolisian gaperlu lagi ada penjelasan lain kalau yg diatas secara sadar dan gatau malu merekayasa suatu kasus udh dipastikan pola pikir rekrutan mereka sedari muda ya di bikin gajauh beda orang yg ngedidik juga seniornya yg kelakuannya wadidaw
Yg aslinya Bjor ded mungkin yasalam 😂,yg aslinya bjor ded mungkin yasalam 😂,yg aslinya bjor ded mungkin yasalam
Regulator sekaligus menjadi pemain? Its mean DPR??,regulator sekaligus menjadi pemain? its mean dpr??,regulator sekaligus menjadi pemain its mean dpr
Tangkap Bjorka itu hanya pengalihan isu,tangkap bjorka itu hanya pengalihan isu,tangkap bjorka itu hanya pengalihan isu
"POLISI udah ga dipercaya gini, bukan berubah malah berulah terus.. Stresss","polisi udah ga dipercaya gini, bukan berubah malah berulah terus.. stresss",polisi udah ga dipercaya gini bukan berubah malah berulah terus stresss
"SAYA PERNAH DENGAR, ANAK2 AUTIS DI TANGKAP, DI MASUKAN KE DALAM RUANGAN, DAN DIA MASIH BISA HACK, MELALUI REMOT DAN TV DOANG, DI LUAR NALAR KAN 🤷‍♂️🤷‍♂️","saya pernah dengar, anak2 autis di tangkap, di masukan ke dalam ruangan, dan dia masih bisa hack, melalui remot dan tv doang, di luar nalar kan 🤷‍♂️🤷‍♂️",saya pernah dengar anak autis di tangkap di masukan ke dalam ruangan dan dia masih bisa hack melalui remot dan tv doang di luar nalar kan
"Itu artinya masih banyak orang yg belum sepenuhnya percaya dg pemerintah baik dlm segi sistem programmer maupun sistem pemerintah itu sendiri. Dibuktikan dg pemerintah ga hadir/support/tidak menghargai kemampuan intelektual anak bangsa.

Akhirnya muncullah bibit bjorka-bjorka lain yg berwajah dua trs nyaman didunia blackhead krn mungkin mereka melihat disekitaran hidupnya (reallife) masih banyak yg susah mencari penghidupan yg layak/sadar bahwa mencari pekerjaan direallife sangat susah.

Terus jalan pintasnya mencari jadi diri/pengakuan diri dg unjuk gigi didunia hacking & mereka akhirnya semakin belok serta memilih dapetin uang dg cara kotor krn mudah","itu artinya masih banyak orang yg belum sepenuhnya percaya dg pemerintah baik dlm segi sistem programmer maupun sistem pemerintah itu sendiri. dibuktikan dg pemerintah ga hadir/support/tidak menghargai kemampuan intelektual anak bangsa.

akhirnya muncullah bibit bjorka-bjorka lain yg berwajah dua trs nyaman didunia blackhead krn mungkin mereka melihat disekitaran hidupnya (reallife) masih banyak yg susah mencari penghidupan yg layak/sadar bahwa mencari pekerjaan direallife sangat susah.

terus jalan pintasnya mencari jadi diri/pengakuan diri dg unjuk gigi didunia hacking & mereka akhirnya semakin belok serta memilih dapetin uang dg cara kotor krn mudah",itu artinya masih banyak orang yg belum sepenuhnya percaya dg pemerintah baik dlm segi sistem programmer maupun sistem pemerintah itu sendiri dibuktikan dg pemerintah ga hadirsupporttidak menghargai kemampuan intelektual anak bangsa akhirnya muncullah bibit bjorkabjorka lain yg berwajah dua trs nyaman didunia blackhead krn mungkin mereka melihat disekitaran hidupnya reallife masih banyak yg susah mencari penghidupan yg layaksadar bahwa mencari pekerjaan direallife sangat susah terus jalan pintasnya mencari jadi diripengakuan diri dg unjuk gigi didunia hacking mereka akhirnya semakin belok serta memilih dapetin uang dg cara kotor krn mudah
apakah karena Parcok kebanyakan lulusan SMA?,apakah karena parcok kebanyakan lulusan sma?,apakah karena parcok kebanyakan lulusan sma
"Polisi wakandah : pokoknya yg kami tangkep bjorka, bukan kadal. Tolonglah rakyat wakandah, para jendral lg kami kadalin ini. Pura² ga tau aja apa susahnya","polisi wakandah : pokoknya yg kami tangkep bjorka, bukan kadal. tolonglah rakyat wakandah, para jendral lg kami kadalin ini. pura² ga tau aja apa susahnya",polisi wakandah pokoknya yg kami tangkep bjorka bukan kadal tolonglah rakyat wakandah para jendral lg kami kadalin ini pura ga tau aja apa susahnya
"Pengalihan isu apa lagi ini ? 
Tiba"" kok BJORKA di tangkap.🫣","pengalihan isu apa lagi ini ? 
tiba"" kok bjorka di tangkap.🫣",pengalihan isu apa lagi ini tiba kok bjorka di tangkap
5:32 tanpa bertanya kayaknya masayarakat dah pada tahu jawabannya dah tentang kinerja isolop,5:32 tanpa bertanya kayaknya masayarakat dah pada tahu jawabannya dah tentang kinerja isolop,tanpa bertanya kayaknya masayarakat dah pada tahu jawabannya dah tentang kinerja isolop
